zh,en
wénshēn,tattoo
dàibiǎo,represents
wénshēn zhě,the tattooed-one
shì,is
gè,a
xiǎotōu.,thief
,
Yī zhī māo,Cat
,
,
biǎoshì,indicates
tā,he
jìnxíngguò,carried out
yīcì,first time
"dàoqiè,",steal
hěnduō,very many
zhǐ,only
jiù,only
biǎoshì,indicate
zhège,this
rén,person
shì,is a
dàoqiè,stealing
fànzuìtuánhuǒ,criminal gang
,
de,s
yīyuán.,member
Sānyècǎo,clover
sānyècǎo,trifoil
dàiyǒu,involve
"""FAIM""",
shì,is
ài'ěrlán,Ireland
hēibāng,criminal gang
de,
"biāozhì,",symbol
tāmen,they
guǎngfàn,extensive
fēnbù,distribution
yú,go to
quánqiú,worldwide
gèdì.,various regions
,
Nàcuì,Nazi
shízì.,cross
xié'è,evil
de,
nàcuì,nazi
shízì,cross
wénshēn,tattoo
dàibiǎo,represents
zhège,this
rén,person
shì,is
báirén,white man
zhìshàng,supreme
de,
zhǒngzúzhǔyìzhě.,racist
,
,
,
Zhùyì,pay attention to
shùnshízhēn,clockwise
,
xiàng,towards
yòu,right-hand
de,
cái,only
shì,is
nàcuì,Nazi
fúhào.,sign
Nìshízhēn,counterclockwise
,
xiàng,towards
zuǒ,the left
de,
shì,is
zàngchuán fójiào,Tibetan Buddhism
,
,
de,
Mò,Mo
"zìfú,",character
biǎoshì,represents
héxié,harmony
yǒnghéng,eternity
de.,
Quánqiú,Worldwide
tōngyòng!,common use
Fùzá,Complex
tú'àn,design
,
zhège,this
wénshēn,tattoo
yóu,due to
xiédǐ,sole of a shoe
tú'àn,design
hé,and
shǒuzhǐ,finger
guānjié,joint
"zǔchéng,",constitute
guānjié shàng,on the joint
,
xiě,write
yǒu,has
"""SKIN""",
zhè,this
dàibiǎo,represents
xīn,neo
nàcuìzhǔyì,nazism
"""guāngtóu dǎng"",",skinheads
,
hēibāng.,criminal gang
Qítā,other
gèzhǒng,every kind of
báirén,white man
zhìshàng,supreme
zhǔyì,-ism
wénshēn:,tattoo
,
"Yīfú shàng,",on clothes
,
suíshēn,(carry) on one's person
yòngpǐn,articles
shàng,on
yǒu,have 
zhèxiē,these
tú'àn,design
de,
yě,also
yào,must
zhùyì:,pay attention
,
Dàjiā,everyone
yǐhòu,later
kàn,look
dào,to
lèisì,similar
wénshēn,tattoo
"de,",
lí,
dé,
yuè,the more
yuǎn,farther
yuè,the more
hǎo.,better
Zìjǐ,oneself
méishì,be all right
xiǎng,think
qù,go
wén,mark
gè,individual
"shēn,",body
yě,also
yào,must
zhùyì,pay attention
diǎn,
bié,don't
xiā,foolishly
wén,mark
tú'àn.,pattern
Fǒuzé,otherwise
kěnéng,perhaps
huì,can
bèi,by
jǐngfāng,police
zhòngdiǎn,focus on
guānzhù,pay attention to
ó!,
